CN(C)c1cc(N2CCCC2*)ncn1;CO;CN(C)c1cc(N2CCCC2CO)ncn1
CCn1c(C)cc2c(c1=O)C(c1ccc(Cl)c(Cl)c1)C(*)=C(N)O2;C(=O)OC;CCn1c(C)cc2c(c1=O)C(c1ccc(Cl)c(Cl)c1)C(C(=O)OC)=C(N)O2
COc1cc2ncnc(N3CCCC(C)C3)c2cc1*;OC;COc1cc2ncnc(N3CCCC(C)C3)c2cc1OC
c1(*)ccc(NC(=O)c2cc3c(=O)n4cccc(C)c4nc3n2CCCOC)cc1;CC;CCc1ccc(NC(=O)c2cc3c(=O)n4cccc(C)c4nc3n2CCCOC)cc1
O(c1ccc(C2C(C(=O)c3ccc(C)c(F)c3)=C(O)C(=O)N2Cc2ccco2)cc1)*;CC;CCOc1ccc(C2C(C(=O)c3ccc(C)c(F)c3)=C(O)C(=O)N2Cc2ccco2)cc1
C(Oc1ccc(C2C(C(=O)c3ccc(F)cc3)=C(O)C(=O)N2CCN(C)C)cc1)*;C=C;C=CCOc1ccc(C2C(C(=O)c3ccc(F)cc3)=C(O)C(=O)N2CCN(C)C)cc1
CCCC*;Cn1c(SCC(=O)OCC)nc2cc(C(=O)NCCC3=CCCCC3)ccc2c1=O;CCCCCn1c(SCC(=O)OCC)nc2cc(C(=O)NCCC3=CCCCC3)ccc2c1=O
COCC*;N1CCC(CNC(=O)c2ccc(OC(C)C)cc2)CC1;COCCN1CCC(CNC(=O)c2ccc(OC(C)C)cc2)CC1
c1(*)cc(CC)n(-c2nc3c(c(=O)[nH]c(=O)n3C)n2Cc2ccc(OC)cc2)n1;CC;CCc1cc(CC)n(-c2nc3c(c(=O)[nH]c(=O)n3C)n2Cc2ccc(OC)cc2)n1
n1(*)c(SCc2ccc(Cl)cc2)nc2c1c(=O)[nH]c(=O)n2C;CCOCC;CCOCCn1c(SCc2ccc(Cl)cc2)nc2c1c(=O)[nH]c(=O)n2C
CNC(=O)CS*;c1nnc(CNC(=O)c2ccc(F)cc2)o1;CNC(=O)CSc1nnc(CNC(=O)c2ccc(F)cc2)o1
CCOC(=O)*;C1CCN(S(=O)(=O)c2cc3c4c(c2)CCN4C(=O)CC3)CC1;CCOC(=O)C1CCN(S(=O)(=O)c2cc3c4c(c2)CCN4C(=O)CC3)CC1
CCOC(=O)*;c1c(NC(=O)CSc2nnc3ccccn23)sc2c1CCC(C)C2;CCOC(=O)c1c(NC(=O)CSc2nnc3ccccn23)sc2c1CCC(C)C2
CNC(=O)*;c1c(NC(=O)/C=C/c2cccs2)sc2c1CCC2;CNC(=O)c1c(NC(=O)/C=C/c2cccs2)sc2c1CCC2
CC(NC(=O)CN1C(=O)NC2(CCCCC2)C1=O)*;c1ccccc1;CC(NC(=O)CN1C(=O)NC2(CCCCC2)C1=O)c1ccccc1
n1(*)cc(S(=O)(=O)CC(=O)Nc2cc(C)ccc2C)c2ccccc12;CC;CCn1cc(S(=O)(=O)CC(=O)Nc2cc(C)ccc2C)c2ccccc21
O=C(CS*)Nc1ccc(F)cc1F;c1c[nH]c2ccccc12;O=C(CSc1c[nH]c2ccccc12)Nc1ccc(F)cc1F
CC(C)N(C(C)C)*;C(=O)c1ccc([N+](=O)[O-])cc1;CC(C)N(C(=O)c1ccc([N+](=O)[O-])cc1)C(C)C
COc1cc(OC)c2c(=O)c(-c3ccc(OC4OC(*)C(O)C(O)C4O)cc3)coc2c1;CO;COc1cc(OC)c2c(=O)c(-c3ccc(OC4OC(CO)C(O)C(O)C4O)cc3)coc2c1
Cc1ccc(-n2ncc3c(N*)ncnc23)cc1Cl;CC(C)O;Cc1ccc(-n2ncc3c(NCC(C)O)ncnc32)cc1Cl
CCCCC*;OC(=O)/C(C#N)=C/c1c[nH]c2ccccc12;CCCCCOC(=O)/C(C#N)=C/c1c[nH]c2ccccc12
O=C(Nc1ccc2c(c1)OCO2)*;CS(=O)(=O)c1cn(CC(=O)N2CCOCC2)c2ccccc12;O=C(CS(=O)(=O)c1cn(CC(=O)N2CCOCC2)c2ccccc12)Nc1ccc2c(c1)OCO2
CCOC(=O)C1=C(C)N=C2SCCC(=O)N2C1c1ccc(*)cc1;OC(C)=O;CCOC(=O)C1=C(C)N=C2SCCC(=O)N2C1c1ccc(OC(C)=O)cc1
O=C(/C=C/*)Nc1ccc2c(c1)OCO2;c1ccc2c(c1)OCO2;O=C(/C=C/c1ccc2c(c1)OCO2)Nc1ccc2c(c1)OCO2
CCCC(=O)N*;c1c2c(nn1-c1ccc(C)cc1)CS(=O)C2;CCCC(=O)Nc1c2c(nn1-c1ccc(C)cc1)CS(=O)C2
COc1ccc(C(=O)CSc2cc(C)c(*)c3nc4ccccc4n23)cc1OC;C#N;COc1ccc(C(=O)CSc2cc(C)c(C#N)c3nc4ccccc4n23)cc1OC
Cn1c(=O)[nH]c(=O)c2c1nc(N*)n2CC(=O)c1ccccc1;CCCO;Cn1c(=O)[nH]c(=O)c2c1nc(NCCCO)n2CC(=O)c1ccccc1
O(C(=O)c1sc(NC(=O)c2ccco2)cc1C)*;CC;CCOC(=O)c1sc(NC(=O)c2ccco2)cc1C
CCc1ccccc1NC(=O)*;CSc1nc2ccccc2c(=O)n1Cc1ccc(C(=O)NCCOC)cc1;CCc1ccccc1NC(=O)CSc1nc2ccccc2c(=O)n1Cc1ccc(C(=O)NCCOC)cc1
O=C(Nc1c2c(nn1-c1cccc(Cl)c1)CS(=O)(=O)C2)*;Cc1ccc(F)cc1;O=C(Cc1ccc(F)cc1)Nc1c2c(nn1-c1cccc(Cl)c1)CS(=O)(=O)C2
O=C(C*)NCc1ccco1;Sc1nc2sc3c(c2c(=O)n1-c1ccccc1)CCC3;O=C(CSc1nc2sc3c(c2c(=O)n1-c1ccccc1)CCC3)NCc1ccco1
CCCCC(=O)*;Nc1sc2c(c1-c1nc3ccccc3s1)CCN(C(C)=O)C2;CCCCC(=O)Nc1sc2c(c1-c1nc3ccccc3s1)CCN(C(C)=O)C2
CCCSc1nc2c(c(=O)n(C)c(=O)n2C)n1C*;C(O)COc1ccc(C)cc1;CCCSc1nc2c(c(=O)n(C)c(=O)n2C)n1CC(O)COc1ccc(C)cc1
Cc1nn2c(NCC(C)C)cc(*)nc2c1-c1ccccc1;C(C)C;Cc1nn2c(NCC(C)C)cc(C(C)C)nc2c1-c1ccccc1
Cc1noc(C)c1*;C(=O)N1CCC(N(C)c2ccccn2)CC1;Cc1noc(C)c1C(=O)N1CCC(N(C)c2ccccn2)CC1
CCOC(=O)CSc1nc2c(c(=O)[nH]c(=O)n2C)n1*;Cc1cccc(Br)c1;CCOC(=O)CSc1nc2c(c(=O)[nH]c(=O)n2C)n1Cc1cccc(Br)c1
Cc1nn2c(N3CCOCC3)cc(*)nc2c1-c1ccccc1;C(C)(C)C;Cc1nn2c(N3CCOCC3)cc(C(C)(C)C)nc2c1-c1ccccc1
CC(C)OC(=O)C(c1nc2ccccc2nc1N1CCN(c2ccccc2)CC1)*;C#N;CC(C)OC(=O)C(C#N)c1nc2ccccc2nc1N1CCN(c2ccccc2)CC1
O=C(N*)c1ccc(Br)cc1;NC(=S)Nc1ccccc1;O=C(NNC(=S)Nc1ccccc1)c1ccc(Br)cc1
C(Cc1ccc(-n2c(-c3ccccc3)cn3c4c(=O)n(CC(N)=O)c(=O)n(C)c4nc23)cc1)*;CC;CCCCc1ccc(-n2c(-c3ccccc3)cn3c4c(=O)n(CC(N)=O)c(=O)n(C)c4nc23)cc1
COc1ccccc1NC(=O)Nc1nc(CC(=O)Nc2ccc(*)cc2)cs1;N(C)C;COc1ccccc1NC(=O)Nc1nc(CC(=O)Nc2ccc(N(C)C)cc2)cs1
O(C(=O)CSC1=C(C#N)C(c2ccccc2Cl)CC(=O)N1)*;CC;CCOC(=O)CSC1=C(C#N)C(c2ccccc2Cl)CC(=O)N1
CCOC(=O)c1c(C)n(-c2ccccc2)c2ccc(OC(=O)c3ccccc3NC(=O)c3c(OC)cccc3*)cc12;OC;CCOC(=O)c1c(C)n(-c2ccccc2)c2ccc(OC(=O)c3ccccc3NC(=O)c3c(OC)cccc3OC)cc12
CCOC(=O)c1oc2ccccc2c1N*;C(=O)CC;CCOC(=O)c1oc2ccccc2c1NC(=O)CC
CCOC(=O)c1nn(-c2ccc(OC)cc2)c(=O)c2c(NC(=O)c3ccc(*)cc3)scc12;OCC;CCOC(=O)c1nn(-c2ccc(OC)cc2)c(=O)c2c(NC(=O)c3ccc(OCC)cc3)scc12
COC(=O)c1scc(-c2ccccc2)c1S(=O)(=O)N*;c1ccc(C)cc1C;COC(=O)c1scc(-c2ccccc2)c1S(=O)(=O)Nc1ccc(C)cc1C
C(CCn1c(=O)[nH]c2cc(C(=O)NCCN3CCN(c4cccc(Cl)c4)CC3)ccc2c1=O)*;CC;CCCCCn1c(=O)[nH]c2cc(C(=O)NCCN3CCN(c4cccc(Cl)c4)CC3)ccc2c1=O
CCCC(N1C(=O)/C(=C\c2cccn2C)SC1=S)*;C(=O)O;CCCC(C(=O)O)N1C(=O)/C(=C\c2cccn2C)SC1=S
C(N1C(=O)/C(=C/c2cc3ccccc3nc2N2CCCCC2)SC1=S)*;COC;COCCN1C(=O)/C(=C/c2cc3ccccc3nc2N2CCCCC2)SC1=S
c1(*)nsc(NC(=O)c2csc3c2CCCC3)n1;CC(=O)C;CC(=O)Cc1nsc(NC(=O)c2csc3c2CCCC3)n1
O=S(=O)(N*)c1ccc(F)cc1;c1ccc(-c2nc3cccnc3s2)cc1;O=S(=O)(Nc1ccc(-c2nc3cccnc3s2)cc1)c1ccc(F)cc1
O=C(NCC1CCCO1)*;CSc1nc(-c2ccccc2)[nH]c1-c1ccc(F)cc1;O=C(CSc1nc(-c2ccccc2)[nH]c1-c1ccc(F)cc1)NCC1CCCO1
Cc1cc2nnc(S*)n2c2ccccc12;CC(N)=O;Cc1cc2nnc(SCC(N)=O)n2c2ccccc12
C=CCOCC(O)*;Cn1c(NCc2ccccc2)nc2c1c(=O)n(C)c(=O)n2C;C=CCOCC(O)Cn1c(NCc2ccccc2)nc2c1c(=O)n(C)c(=O)n2C
Cn1c(=O)c2c(nc(N*)n2Cc2ccccc2)n(C)c1=O;CCCO;Cn1c(=O)c2c(nc(NCCCO)n2Cc2ccccc2)n(C)c1=O
